,Comp_0,Comp_1,Comp_2,Comp_3,Comp_4,Comp_7,Comp_8,Comp_12,Comp_6,Comp_5,Comp_13,Comp_20,Comp_15,Comp_23,Comp_10,Comp_22,Comp_17,Comp_9,Comp_18,Comp_19,Comp_11,Comp_21,Comp_16,Comp_14
TCGA-DA-A95W-06A,0.03380096760287877,1.4263482423799748e-19,1.7400111037237876e-25,7.033693084251735e-25,5.151047369066085e-09,6.882890335769124e-18,8.40280397228607e-21,2.159216048363781e-29,1.5463978782712635e-18,6.641703018821172e-21,1.732276102041082e-21,2.5663358364117754e-20,6.847847431242675e-12,1.4235177127448865e-26,6.395384726825686e-14,2.036448967829302e-34,3.7552559973167782e-31,0.9661990265100174,5.0850460993815556e-26,5.7490485893180274e-18,3.5030969542948885e-17,3.383741752938745e-27,6.099105240063179e-17,1.5369421456705204e-14
TCGA-D9-A6EC-06A,0.07427207343496679,6.219897129842149e-19,1.111499502692404e-26,5.720437389607847e-25,4.9898063987207725e-15,6.01526231055485e-24,1.4558726763168513e-21,1.1413868163175473e-24,4.983335701632507e-24,5.4101238880041545e-21,1.5085865723832573e-12,3.7430394081838856e-26,6.914021558594293e-19,2.4838792712239295e-22,1.8672817318206817e-28,1.4397192198981695e-20,6.494727303817407e-26,0.9257279258365155,3.8557131479498084e-23,5.350473993004572e-13,2.1407885875066683e-19,1.680885175526178e-27,3.967098623858472e-17,2.62958006231038e-20
TCGA-EB-A5KH-06A,0.07843632455266986,6.317474316331076e-22,5.391677486321917e-26,4.604296411837931e-28,4.671343118695454e-14,1.8243010861849902e-20,5.3409051115040995e-25,3.251124900986124e-29,8.103426283433492e-20,6.178075574719513e-25,4.367475567089155e-22,5.05105315367333e-24,7.451178478242484e-09,2.7435105117846624e-26,1.0275280889149404e-21,1.0321674630359786e-29,9.11854824982099e-31,0.9215636672682458,9.721053365432225e-30,1.001738468775332e-17,1.6638925008313465e-12,4.060211539265822e-29,3.464265315909845e-18,1.340095350581933e-17
TCGA-D9-A6EA-06A,0.08442887845897347,3.985421622021453e-27,3.647795863514667e-27,2.983507946410378e-28,7.793680227598455e-16,2.6415273205186374e-25,8.20741849147129e-26,5.125514124067951e-25,2.2900921975137746e-05,2.1189657152867913e-24,5.234116372052578e-17,5.7564251139964935e-18,2.1157928932724853e-16,3.0516721367041356e-28,3.699677651236396e-24,5.506843119166093e-24,8.801581934647328e-32,0.9155482198932489,2.1027423848600665e-28,4.652363040285616e-21,2.1794653313812406e-16,8.269346163126243e-31,2.535748514475303e-21,6.761282710880515e-21
TCGA-XV-AAZY-01A,0.09415610875700853,3.798651339421126e-23,9.480723442089104e-26,6.839061338471024e-27,1.2360018765420563e-16,3.584557494387099e-22,1.8099505605174712e-26,3.7555689574137265e-24,9.291116807157036e-09,7.442925382411023e-24,1.1277885597940622e-21,6.569788879161021e-13,3.959029658722307e-10,2.096655867471254e-28,1.0895899293348267e-23,3.279020288147606e-23,5.629665734228537e-29,0.9058438808301527,2.740091477456512e-27,3.2932731072524485e-23,6.38528381151534e-18,9.466376036271733e-28,1.4621459240338352e-19,7.802773385660365e-18
TCGA-D9-A1JW-06A,0.10023329745352372,8.882620117898786e-21,1.952512665651304e-28,1.2913694753520295e-29,1.685483593033764e-15,1.0015631323316455e-25,9.767511606296272e-23,8.349437274262532e-29,3.4386804143071044e-19,4.619739955714439e-23,9.584654605525595e-22,3.0093794914618515e-26,1.1812955819259253e-25,5.162528666476975e-28,1.0631686274948614e-26,4.2908532986113696e-32,9.821889577107097e-30,0.8997667018216894,2.5485688520344222e-27,1.1135158840873758e-21,2.2688455035038945e-14,4.220090927619747e-31,8.56819118888313e-20,1.0508286532161054e-18
TCGA-BG-A0M8-01A,0.23152531340697136,2.263990058698216e-20,7.589865700237202e-19,2.0356228487462058e-14,2.052106094390747e-19,4.1022643671129835e-14,1.3840796313630732e-16,6.844141131910403e-17,2.9804615313903636e-27,2.1143894995534566e-14,3.5343959172509445e-14,2.7909151589306955e-30,1.3921958123071248e-20,3.519399601850484e-21,1.1758890195585162e-25,1.4341361694229927e-26,2.085712516513738e-21,3.395316528791663e-23,0.7684746859564198,2.642755799266443e-24,5.602090757587867e-22,2.9739096400702372e-24,1.0028303308952885e-19,2.1828083221203648e-20
TCGA-AP-A051-01A,0.2629993741076782,8.764676424282524e-23,7.579970877513413e-20,6.080550906244037e-12,8.200148631334984e-18,7.051611512816267e-09,1.0659134705406345e-15,5.082168106505818e-21,2.457661262712688e-27,7.711223063937643e-17,4.002598693744378e-19,7.568194435183463e-34,3.316035930853175e-17,6.523260741381215e-23,6.258073064049552e-19,5.431288494082519e-33,1.7307822988016032e-24,3.97929984904996e-20,0.7370006181969442,1.049553636252634e-23,7.618052521328814e-16,2.3938044015919464e-24,4.3662477373815255e-20,6.624004016377963e-18
TCGA-BG-A0MK-01A,0.26432197413826647,1.6442060087980635e-19,1.818136834543252e-15,1.932878641704339e-14,1.194992440946759e-20,1.2646546133825763e-14,2.4241421676699086e-17,4.81765089867193e-16,3.4456586822995204e-27,3.1559142085596067e-15,3.123841780191054e-19,2.3986470342877173e-29,8.83639236727932e-22,6.166928879769507e-20,2.6902911486778793e-24,5.8970305708676325e-27,3.434200191851138e-19,2.276060689865602e-24,0.7356780252239623,2.5957227940937847e-25,8.578720890219356e-19,1.2104545898502087e-22,8.937149207509945e-24,6.541062441509491e-20
TCGA-BK-A13B-01A,0.2858620493350094,4.9921315783683195e-18,1.213099886791554e-12,1.2135688675150613e-08,1.6310067831096074e-17,3.338865781447574e-08,6.598707936671073e-15,2.0340416193290611e-16,1.537130021580173e-25,3.0861091408754035e-16,3.162999156442772e-10,5.834898356451582e-32,1.792656388236666e-11,6.871684945014779e-22,9.418168899752238e-21,3.3645922553304642e-25,3.4438127219811464e-18,3.8168012153064755e-19,0.7141379041666471,2.972683821636105e-22,3.502073295586498e-19,2.4719822333517703e-18,5.036602099241875e-20,3.571296109249637e-17
