,Comp_0,Comp_1,Comp_3,Comp_2,Comp_4,Comp_7,Comp_8,Comp_12,Comp_22,Comp_6,Comp_13,Comp_5,Comp_17,Comp_14,Comp_18,Comp_19,Comp_11,Comp_20,Comp_16,Comp_21,Comp_23,Comp_15,Comp_10,Comp_9
TCGA-2G-AAH8-01A,2.222325967785277e-05,2.3253840592772116e-35,2.254504196026649e-44,6.011464720587533e-41,7.70827726355256e-30,1.8993875514778803e-35,2.87658456140348e-36,5.205231412551326e-44,2.7445283411396693e-45,1.246890997973707e-48,2.2611361858387116e-41,6.209027615877742e-35,9.789798006595715e-48,1.3725441320727974e-38,3.0342867481639446e-43,2.714046245579979e-40,0.9999777761227396,2.6898491694907376e-37,1.3265670106509117e-28,2.8636491022803405e-40,9.841184851765133e-39,4.910280895388344e-30,3.939229027629928e-30,1.379524999462495e-23
TCGA-2G-AAFO-01A,0.0008153447667471312,3.63429087825747e-23,3.574946014087156e-36,2.2406227132950364e-28,1.2618466019056426e-24,6.427995221293578e-32,9.856264399522413e-33,3.637595250450934e-26,1.264880241196124e-22,2.8332506865760903e-36,2.83021907432337e-29,5.82657010198179e-27,4.083382615524677e-26,8.298069962275253e-32,1.4087564284190207e-29,4.365891002730358e-28,0.9991846546156664,2.1449556076847058e-26,2.97269043566737e-24,2.3797726523312413e-25,6.251462017649449e-31,9.363821646570914e-26,5.242177331126359e-28,6.956259101820767e-27
TCGA-XE-AAOD-01A,0.001556157660056804,2.1986027833557842e-38,8.054218445830284e-39,3.543547553853742e-38,8.902225287960391e-29,1.2159588431987363e-31,1.8458077554450175e-38,7.431420328472056e-40,6.10137079733235e-42,9.406012085870888e-32,2.929986338493331e-40,3.17284651172838e-34,2.1878349925685614e-45,1.3180589469198268e-18,6.319729624821878e-43,2.9439308421592184e-40,0.998443841722353,8.459375716550492e-33,8.778125082071382e-28,4.440915100677734e-37,8.434924480834865e-33,2.776052638926719e-28,3.4281978058504047e-31,2.342127399554924e-23
TCGA-4K-AA1I-01A,0.009263185713753645,1.4030977565241823e-33,1.7059210807886065e-46,6.722816636612778e-38,2.4790793444112274e-30,1.428614086924063e-34,2.3141437228680094e-35,1.426501259895904e-40,1.4317551923517642e-46,4.845198369970631e-25,1.4489257717760347e-40,1.4968263440334312e-34,1.2186948526995246e-43,1.7123175002237573e-33,1.5049948707251866e-44,2.0802094786222646e-36,0.9907368136686172,8.409430437883733e-35,1.4060666669090483e-28,1.8694705108496905e-38,1.7249592624177751e-34,2.7209383001262575e-29,8.727574961110111e-30,2.8891989242894863e-22
TCGA-XE-AAOF-01A,0.016245396289852835,1.583848960912825e-34,4.835528332965971e-44,1.445708381653445e-38,2.3902661333242045e-29,5.698568260457502e-34,1.3572367441687325e-37,1.2876812497382189e-39,1.485228084840672e-43,1.281745584333024e-23,1.4103702403556423e-39,9.920782870370123e-34,7.490154867749449e-44,2.2502408137859744e-30,5.028422684327257e-42,1.443761886043136e-35,0.9837546030924827,2.250007392927481e-32,2.1078605063276514e-29,8.670009460825136e-39,2.452100872514728e-33,3.1877734149986035e-29,5.91858727701498e-29,8.32382232203497e-23
TCGA-2G-AAFM-01A,0.06939174080145545,1.5327926728697617e-26,1.6651995336991857e-39,3.034689079835406e-31,5.317744490895406e-25,3.4222659900102395e-31,9.705844126837177e-34,1.6383116145138684e-31,1.6812020910015873e-31,1.0835336191035393e-24,3.8583396918096645e-30,1.014606239950864e-28,4.900351188613361e-33,2.195012168335237e-28,2.203566049363923e-34,5.925072869133897e-32,0.9306082585806122,3.092617311373205e-26,5.331729406328205e-26,2.5538467289133193e-30,1.445231891555871e-30,1.2151510156721238e-26,1.3321617982511902e-28,1.4432869984034606e-24
TCGA-2G-AAKG-05A,0.09387946575029743,1.0166695568124627e-31,3.0119414685549567e-38,1.3763301644425553e-33,5.644181051295648e-26,5.964992636047382e-27,2.2651925863504485e-34,8.728098385435186e-34,3.972707556102763e-40,5.881916783812267e-07,3.3324361278292997e-34,1.3321256706471661e-30,4.3159916869185274e-40,6.677824991329639e-11,2.3305700696589733e-40,7.535142923758913e-33,0.9061199453731901,2.1952507467125957e-26,2.1923948003535446e-26,8.02464180582598e-35,8.461126823334708e-29,1.4775050897288603e-25,3.0657092404080966e-27,9.120388943586699e-19
TCGA-2G-AAGS-01A,0.1475131611350467,2.5924949417594343e-13,4.362351076322485e-18,3.741809398215491e-19,6.46192399878278e-05,2.1481633838834745e-14,1.6616498466191498e-22,1.0386766235443696e-15,4.247631134146838e-18,9.59622309214621e-11,1.3861073165497316e-06,1.0393733749644091e-13,4.202794083262172e-16,3.295324350415725e-14,4.037843391669613e-17,2.6064214654002074e-06,0.7283937053441564,0.12391074784784079,1.9237040488812736e-07,4.830872737111775e-15,0.00011354271756489733,3.711346977158971e-08,8.124184747003036e-15,9.72618021738188e-10
TCGA-BA-A4IH-01A,0.25261226925446617,4.4357043457428036e-06,2.600901314706169e-17,7.377104683317174e-09,3.7299671139413074e-09,1.8067352506707126e-07,2.0928211930014735e-08,8.12120901238109e-06,0.22574521351360263,0.002887914615154089,0.08996077037373593,2.9712412541912623e-07,0.00015560556593430656,4.171098120132591e-12,0.06997506155184754,3.397205860043398e-07,0.35797953515844144,0.0006651316784881873,1.308210889216626e-14,5.090736692450331e-06,1.9336175290407985e-11,3.95032776359613e-10,1.2398306622624957e-14,2.628949171039451e-16
TCGA-J1-A4AH-01A,0.25975190213614646,4.490188052693292e-22,7.527798782508183e-23,2.7901942265348295e-16,6.57164709665577e-14,2.7322777395560346e-13,0.06715032923102966,2.1428622155474098e-15,0.28405699827004877,3.144833709435212e-10,1.9775793759588897e-17,6.771173933323494e-19,2.3958185018357023e-18,0.07092158612703683,5.188873870204343e-16,1.4147022689258537e-11,0.31769888526191764,6.264399889463489e-19,4.880992989592162e-15,7.330767954457545e-07,0.00041951618077461813,3.479188707242208e-15,3.245679513729198e-12,4.8706885548569176e-08
TCGA-XE-AANI-01A,0.13675400910942034,1.1494501374415304e-20,4.882463288278913e-19,1.0696698994460986e-20,0.05049650755304723,2.0940872026997052e-08,7.87452928227875e-22,6.984237576800032e-18,1.0421595023193554e-20,0.0011680388690085632,0.0061314856914014395,1.0479834185664068e-14,2.0156278523322995e-20,5.231036730229861e-13,1.1628212385301964e-14,0.06227762907488607,0.2953715457078206,0.22918484215290522,2.660460175647455e-12,6.735091082350878e-20,0.2183245251388617,3.2470200067231213e-10,7.063455521371938e-08,0.0002913241613155589
TCGA-MM-A564-01A,0.18407865422700473,4.52894137640935e-10,6.765767904157771e-32,1.0861570051813956e-31,9.278351232086975e-19,6.309262363149709e-29,2.995542391353425e-27,1.1627786759928046e-27,7.007443970276831e-32,1.0545637857029114e-25,1.4636667612058323e-21,1.5480869145435538e-19,2.435966256108171e-36,4.8434615212004154e-32,7.620005503177048e-35,1.9408544905699996e-17,1.0360644842547275e-28,0.8159213446001389,7.981531849547257e-20,7.897205997832387e-35,1.1658671376090342e-20,3.671113574067581e-24,1.3201200785649568e-19,1.4796046260101744e-22
TCGA-B2-A4SR-01A,0.20037245510040527,4.890954889958602e-08,1.114206134560748e-27,2.391772775151944e-23,2.1660675827399734e-24,4.08981519833757e-21,1.3183225837999258e-24,4.397213677814823e-30,4.854541235750799e-36,3.833511107484226e-21,1.853531252017295e-28,4.82507136134456e-19,1.070565182205409e-29,1.6561097513676918e-12,2.667826351022536e-28,3.6527924018100586e-33,1.0915166355022766e-28,0.7996274952703715,4.621992829580533e-25,4.4353251945464136e-33,1.380145960736222e-24,1.5025112524314813e-24,3.045412622350839e-29,2.453481376147432e-27
TCGA-B8-A54J-01A,0.22420781895948064,0.007137452244966197,1.7863321907946675e-35,2.431370323890414e-27,3.204861178063741e-27,3.957713478661054e-28,3.9695037307564546e-23,1.0604985526134094e-33,2.356913992744739e-41,6.847442261598791e-23,3.6214093179759504e-33,1.3112977781362477e-22,5.247882673514179e-33,1.0604607585664849e-25,5.073049571204488e-37,3.728044420196904e-32,4.684321339539496e-29,0.7686547280803921,1.2237312059361147e-24,4.6185629554584535e-36,2.4456512649525112e-28,2.2985147838783072e-26,1.3417780011145756e-28,1.9244148003340722e-27
TCGA-3Z-A93Z-01A,0.25666238273900777,0.0014868780947746457,1.9276847581290857e-34,8.496698528711434e-27,1.0919187258478597e-24,4.788029913631834e-25,6.059158777894307e-25,7.031363114963264e-33,9.369432172767435e-41,2.095678075470185e-23,5.255939104364822e-32,9.115354470191241e-24,3.0009294184696556e-32,1.375339654266051e-25,2.0283597845412094e-34,6.338016978333103e-33,6.689029567970541e-27,0.7418507384549176,9.578426773585161e-24,1.481996579662288e-34,1.5897295140376527e-27,3.0553093543866022e-24,4.3539994428289305e-28,3.734075133051199e-26
TCGA-B8-A54H-01A,0.26216334585027995,0.00108272112383853,2.1699017288302e-31,5.696528109054268e-28,1.3023181597123852e-24,2.522039907055421e-24,6.085544828452046e-25,2.234231095873135e-33,4.288463685481748e-41,3.548657264983364e-26,1.3794926573687383e-31,1.1106677381514961e-23,3.083325978146517e-35,8.740901467406204e-16,7.42569336524921e-36,2.3918793388633318e-33,1.633214886424903e-26,0.7367539323152359,5.659689639617042e-24,1.2501405510634927e-34,1.1407302818857822e-29,2.268413065434068e-24,7.274931967308801e-29,8.554119145367485e-25
TCGA-CJ-5677-01A,0.23498384317226792,0.042765981064782556,6.700034925840586e-24,3.0822383029296446e-17,2.153451647688973e-22,3.139604933140912e-27,9.698293039779104e-17,1.7990508364512455e-15,1.3387925930912536e-20,5.7066735460358534e-05,8.032468750590798e-16,8.812959537516007e-18,9.273589426458562e-18,3.351438867318948e-16,4.0742369705705577e-25,2.325020989853079e-10,1.5619868614157472e-20,0.7221931080808933,4.77341453027939e-18,1.6958964774284604e-20,2.8473625031744077e-13,8.138158061219207e-26,8.506521541937735e-22,1.0885975721587012e-24
TCGA-B8-A8YJ-01A,0.29888822791480324,0.004102172911221716,1.231246314259599e-31,4.2435961599265654e-24,8.802773613544096e-22,6.537411356127815e-23,1.7783400397427814e-21,1.695930582889667e-28,2.1315709029684254e-35,2.3016196202088094e-07,1.0919319420107966e-26,1.1155071438245944e-22,3.455802507333839e-28,2.435543294045377e-18,5.570688316633108e-32,1.1343574781556457e-24,6.552891984282191e-21,0.6970093683057556,3.808874094289244e-21,2.1444176565163345e-30,9.363780062415383e-21,6.62860510882396e-22,3.605741609498687e-25,2.1546442126973282e-23
TCGA-GK-A6C7-01A,0.3055485574891071,0.025348510432611535,9.050267528701276e-26,6.208347802766638e-19,3.73224751028757e-25,1.6990123235232731e-22,2.556367956890786e-22,2.372544779799628e-22,1.1891386243836268e-29,4.361702872542749e-16,2.2696597425418943e-23,9.33836910112993e-18,6.5240831303386336e-21,2.7490046778404974e-16,4.453865968811568e-26,1.4533071418182822e-27,6.581313001983608e-24,0.6691029313728585,9.600036374742059e-23,1.7108307785096303e-26,2.7010536261246994e-26,7.521856183338937e-23,1.8310403403059697e-27,7.262276553760941e-26
TCGA-B8-A54F-01A,0.30743821830741996,0.03812361037052929,9.87004548653004e-29,3.34688666690233e-24,4.4252182621037824e-20,2.4285809599471323e-22,7.056042445222587e-22,1.9464621517188975e-21,1.6622623468574597e-28,2.939890405017837e-11,4.442720543792241e-17,1.1838397687194396e-18,3.179602180750509e-25,6.3033159293071795e-25,1.6294567526012412e-29,4.275017178524673e-19,9.704160388618996e-23,0.6544381705874797,4.9861603116052776e-18,1.9082092285145326e-27,4.845277285859696e-22,8.696360051674085e-24,4.58578942567868e-22,1.9105276606305993e-23
TCGA-CJ-5679-01A,0.23876751650786696,0.13859683624466118,2.0960392569329146e-24,1.7598243854747883e-08,6.329007160847538e-22,7.599249197831004e-27,4.552994640393282e-10,2.188396459084019e-10,3.0516986651173735e-15,2.876535521942019e-07,1.758284519170098e-24,2.1630379829665872e-22,4.836238184749193e-10,1.187704201036396e-09,5.455391924130419e-25,6.407921087159224e-08,1.0887048787969883e-13,0.6226352731566231,1.7010571641075555e-09,3.2622642038962246e-14,2.6119712496485796e-17,2.8641458721707512e-21,1.2665691856448671e-15,1.4794214750102796e-16
