original_index,sample_id
49,TCGA-D6-A6EP-01A
322,TCGA-D7-A4YX-01A
314,TCGA-D7-A6EZ-01A
11,TCGA-D8-A13Z-01A
318,TCGA-D9-A1JW-06A
313,TCGA-D9-A6EA-06A
292,TCGA-D9-A6EC-06A
316,TCGA-DA-A95W-06A
41,TCGA-DA-A95Y-06A
280,TCGA-DB-A75K-01A
37,TCGA-DD-AAC8-01A
293,TCGA-DD-AACB-01A
36,TCGA-DD-AACI-01A
143,TCGA-DD-AACL-01A
50,TCGA-DJ-A13M-01A
34,TCGA-DJ-A13V-01A
245,TCGA-DJ-A13X-01A
311,TCGA-DK-A1AD-01A
289,TCGA-DM-A28G-01A
246,TCGA-DU-5870-02A
51,TCGA-DU-6395-02A
309,TCGA-DU-6407-02B
39,TCGA-DV-A4VX-01A
334,TCGA-E1-A7YI-01A
30,TCGA-EA-A3HS-01A
308,TCGA-EA-A3HT-01A
40,TCGA-EB-A24C-01A
54,TCGA-EB-A3XF-01A
298,TCGA-EB-A3Y6-01A
294,TCGA-EB-A5KH-06A
367,TCGA-EB-A5SH-06A
112,TCGA-EJ-7218-01B
110,TCGA-EJ-7318-01B
75,TCGA-EJ-A46B-01A
71,TCGA-EJ-A46D-01A
117,TCGA-EJ-A46E-01A
115,TCGA-EJ-A46F-01A
82,TCGA-EJ-A46G-01A
200,TCGA-EJ-A46H-01A
72,TCGA-EJ-A65B-01A
167,TCGA-EJ-A65F-01A
61,TCGA-EJ-A7NG-01A
165,TCGA-EJ-A7NM-01A
118,TCGA-EJ-A8FN-01A
73,TCGA-EJ-A8FP-01A
237,TCGA-F6-A8O3-01A
236,TCGA-F7-A624-01A
169,TCGA-F9-A7Q0-01A
171,TCGA-F9-A7VF-01A
173,TCGA-F9-A8NY-01A
235,TCGA-FD-A3SR-01A
172,TCGA-FG-A4MU-01B
170,TCGA-FG-A4MY-01A
210,TCGA-G3-AAV0-01A
176,TCGA-GD-A3OQ-01A
177,TCGA-GK-A6C7-01A
174,TCGA-GL-A9DC-01A
175,TCGA-GV-A3JW-01A
25,TCGA-H4-A2HO-01C
209,TCGA-H7-A76A-01A
381,TCGA-HE-A5NH-01A
302,TCGA-HE-A5NI-01A
317,TCGA-HE-A5NJ-01A
285,TCGA-HE-A5NK-01A
192,TCGA-HF-A5NB-01A
189,TCGA-IA-A40U-01A
184,TCGA-IA-A40X-01A
185,TCGA-IC-A6RE-01A
19,TCGA-IG-A3YA-01A
208,TCGA-IG-A4P3-01A
384,TCGA-IG-A4QS-01A
291,TCGA-IG-A51D-01A
182,TCGA-IG-A625-01A
187,TCGA-IG-A7DP-01A
190,TCGA-J1-A4AH-01A
402,TCGA-KC-A4BV-01A
223,TCGA-KU-A66S-01A
403,TCGA-KU-A6H7-06A
301,TCGA-KV-A74V-01A
382,TCGA-L4-A4E6-01A
186,TCGA-L5-A4OE-01A
222,TCGA-L7-A6VZ-01A
260,TCGA-L9-A8F4-01A
129,TCGA-LG-A9QC-01A
152,TCGA-LG-A9QD-01A
154,TCGA-LK-A4NW-01A
113,TCGA-LK-A4NY-01A
179,TCGA-LK-A4O6-01A
156,TCGA-LN-A49O-01A
130,TCGA-LN-A49W-01A
178,TCGA-LN-A4A2-01A
155,TCGA-LN-A4A5-01A
128,TCGA-LN-A4MR-01A
126,TCGA-LN-A7HX-01A
153,TCGA-LN-A8HZ-01A
183,TCGA-LN-A9FQ-01A
127,TCGA-M9-A5M8-01A
297,TCGA-MF-A522-01A
307,TCGA-MM-A564-01A
368,TCGA-MP-A4SV-01A
306,TCGA-MP-A4T4-01A
15,TCGA-MP-A4T7-01A
14,TCGA-MP-A4TE-01A
325,TCGA-MP-A4TF-01A
267,TCGA-MQ-A4KX-01A
216,TCGA-NH-A50U-01A
38,TCGA-NH-A50V-01B
315,TCGA-NH-A5IV-01A
218,TCGA-NH-A6GA-01A
7,TCGA-NH-A6GC-01A
5,TCGA-NH-A8F7-01A
391,TCGA-NH-A8F8-01A
27,TCGA-NJ-A4YG-01A
392,TCGA-O2-A52N-01A
4,TCGA-OR-A5J2-01A
8,TCGA-OR-A5J3-01A
6,TCGA-OR-A5J6-01A
142,TCGA-OR-A5J9-01A
295,TCGA-OR-A5JZ-01A
390,TCGA-OR-A5K8-01A
319,TCGA-OR-A5KX-01A
125,TCGA-OX-A56R-01A
135,TCGA-P4-A5E6-01A
17,TCGA-P4-A5EA-01A
134,TCGA-P4-A5EB-01A
214,TCGA-P4-A5ED-01B
137,TCGA-P4-AAVL-01A
276,TCGA-P5-A72W-01A
132,TCGA-P5-A72X-01A
215,TCGA-P5-A735-01A
213,TCGA-P5-A77X-01A
136,TCGA-PA-A5YG-01A
133,TCGA-PJ-A8JU-01A
31,TCGA-PK-A5H8-01A
221,TCGA-Q2-A5QZ-01A
336,TCGA-QG-A5YV-01A
340,TCGA-QG-A5YX-01A
354,TCGA-QL-A97D-01A
338,TCGA-QT-A5XJ-01A
341,TCGA-QT-A5XM-01A
352,TCGA-QT-A5XN-01A
339,TCGA-QT-A69Q-01A
335,TCGA-RM-A68W-01A
337,TCGA-RR-A6KB-01A
278,TCGA-RT-A6YA-01A
217,TCGA-RW-A8AZ-01A
212,TCGA-S3-AA0Z-01A
271,TCGA-SH-A9CU-01A
238,TCGA-SS-A7HO-01A
279,TCGA-SU-A7E7-01A
180,TCGA-TT-A6YP-01A
211,TCGA-UZ-A9PJ-01A
275,TCGA-UZ-A9PK-01A
370,TCGA-UZ-A9PL-01A
193,TCGA-UZ-A9PM-01A
249,TCGA-UZ-A9PP-01A
248,TCGA-UZ-A9PQ-01A
64,TCGA-UZ-A9PV-01A
55,TCGA-VN-A88K-01A
290,TCGA-VP-A875-01A
74,TCGA-VQ-A8PJ-01A
105,TCGA-VQ-A91E-01A
365,TCGA-VQ-A91W-01A
388,TCGA-VQ-A94O-01A
360,TCGA-W6-AA0T-01A
371,TCGA-W7-A93N-01A
362,TCGA-W9-A837-01A
361,TCGA-WB-A818-01A
366,TCGA-XC-AA0X-01A
363,TCGA-XE-AANI-01A
359,TCGA-XE-AAOD-01A
247,TCGA-XE-AAOF-01A
229,TCGA-XV-AAZY-01A
219,TCGA-YL-A8HJ-01A
227,TCGA-YL-A8SB-01A
226,TCGA-YL-A8SL-01B
393,TCGA-YL-A8SP-01B
225,TCGA-YL-A9WK-01A
251,TCGA-ZG-A9L0-01A
228,TCGA-ZG-A9L1-01A
250,TCGA-ZG-A9L2-01A
181,TCGA-ZH-A8Y5-01A
220,TCGA-ZH-A8Y7-01A
